1:1:1	الٓمٓ	P	INL|
2:1:1	أَ	N	INTG|PREF|LEM:أ
2:1:2	حَسِبَ	V	PERF|VF:1|ROOT:حسب|LEM:حَسِبَ|3MS
2:2:1	ٱل	P	DET|PREF|LEM:ال
2:2:2	نَّاسُ	N	ROOT:أنس|LEM:ناس|MP|NOM
2:3:1	أَن	P	SUB|LEM:أَن
2:4:1	يُتْرَكُ	V	IMPF|VF:1|PASS|ROOT:ترك|LEM:تَرَكَ|3MP|MOOD:SUBJ
2:4:2	وٓا۟	N	PRON|SUFF|3MP
2:5:1	أَن	P	SUB|LEM:أَن
2:6:1	يَقُولُ	V	IMPF|VF:1|ROOT:قول|LEM:قالَ|3MP|MOOD:SUBJ
2:6:2	وٓا۟	N	PRON|SUFF|3MP
2:7:1	ءَامَ	V	PERF|VF:4|ROOT:أمن|LEM:آمَنَ|1P
2:7:2	نَّا	N	PRON|SUFF|1P
2:8:1	وَ	P	CONJ|PREF|LEM:و
2:8:2	هُمْ	N	PRON|3MP
2:9:1	لَا	P	NEG|LEM:لا
2:10:1	يُفْتَنُ	V	IMPF|VF:1|PASS|ROOT:فتن|LEM:فَتَنُ|3MP|MOOD:IND
2:10:2	ونَ	N	PRON|SUFF|3MP
3:1:1	وَ	P	CONJ|PREF|LEM:و
3:1:2	لَ	P	EMPH|PREF|LEM:ل
3:1:3	قَدْ	P	CERT|LEM:قَد
3:2:1	فَتَ	V	PERF|VF:1|ROOT:فتن|LEM:فَتَنُ|1P
3:2:2	نَّا	N	PRON|SUFF|1P
3:3:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
3:4:1	مِن	P	P|LEM:مِن
3:5:1	قَبْلِ	N	ROOT:قبل|LEM:قَبْل|GEN
3:5:2	هِمْ	N	PRON|SUFF|3MP
3:6:1	فَ	P	CONJ|PREF|LEM:ف
3:6:2	لَ	P	EMPH|PREF|LEM:ل
3:6:3	يَعْلَمَ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MS|MOOD:IND
3:6:4	نَّ	P	EMPH|SUFF|LEM:ن
3:7:1	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
3:8:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
3:9:1	صَدَقُ	V	PERF|VF:1|ROOT:صدق|LEM:صَدَقَ|3MP
3:9:2	وا۟	N	PRON|SUFF|3MP
3:10:1	وَ	P	CONJ|PREF|LEM:و
3:10:2	لَ	P	EMPH|PREF|LEM:ل
3:10:3	يَعْلَمَ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MS|MOOD:IND
3:10:4	نَّ	P	EMPH|SUFF|LEM:ن
3:11:1	ٱلْ	P	DET|PREF|LEM:ال
3:11:2	كَٰذِبِينَ	N	ACT_PCPL|VF:1|ROOT:كذب|LEM:كاذِب|MP|ACC
4:1:1	أَمْ	P	CONJ|LEM:أَم
4:2:1	حَسِبَ	V	PERF|VF:1|ROOT:حسب|LEM:حَسِبَ|3MS
4:3:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
4:4:1	يَعْمَلُ	V	IMPF|VF:1|ROOT:عمل|LEM:عَمِلَ|3MP|MOOD:IND
4:4:2	ونَ	N	PRON|SUFF|3MP
4:5:1	ٱل	P	DET|PREF|LEM:ال
4:5:2	سَّيِّـَٔاتِ	N	ROOT:سوأ|LEM:سَيِّئَة|FP|ACC
4:6:1	أَن	P	SUB|LEM:أَن
