3:32:1	أَلِيمٍ	N	ROOT:ألم|LEM:أَلِيم|MS|INDEF|GEN|ADJ
4:1:1	إِلَّا	P	RES|LEM:إِلّا
4:2:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
4:3:1	عَٰهَد	V	PERF|VF:3|ROOT:عهد|LEM:عاهَدَ|2MP
4:3:2	تُّم	N	PRON|SUFF|2MP
4:4:1	مِّنَ	P	P|LEM:مِن
4:5:1	ٱلْ	P	DET|PREF|LEM:ال
4:5:2	مُشْرِكِينَ	N	ACT_PCPL|VF:4|ROOT:شرك|LEM:مُشْرِك|MP|GEN
4:6:1	ثُمَّ	P	CONJ|LEM:ثُمّ
4:7:1	لَمْ	P	NEG|LEM:لَم
4:8:1	يَنقُصُ	V	IMPF|VF:1|ROOT:نقص|LEM:يُنقَصُ|3MP|MOOD:JUS
4:8:2	و	N	PRON|SUFF|3MP
4:8:3	كُمْ	N	PRON|SUFF|2MP
4:9:1	شَيْـًٔا	N	ROOT:شيأ|LEM:شَىْء|M|INDEF|ACC
4:10:1	وَ	P	CONJ|PREF|LEM:و
4:10:2	لَمْ	P	NEG|LEM:لَم
4:11:1	يُظَٰهِرُ	V	IMPF|VF:3|ROOT:ظهر|LEM:ظاهَرُ|3MP|MOOD:JUS
4:11:2	وا۟	N	PRON|SUFF|3MP
4:12:1	عَلَيْ	P	P|LEM:عَلَى
4:12:2	كُمْ	N	PRON|SUFF|2MP
4:13:1	أَحَدًا	N	ROOT:أحد|LEM:أَحَد|M|INDEF|ACC
4:14:1	فَ	P	REM|PREF|LEM:ف
4:14:2	أَتِمُّ	V	IMPV|VF:4|ROOT:تمم|LEM:أَتَمَّ|2MP
4:14:3	وٓا۟	N	PRON|SUFF|2MP
4:15:1	إِلَيْ	P	P|LEM:إِلَى
4:15:2	هِمْ	N	PRON|SUFF|3MP
4:16:1	عَهْدَ	N	ROOT:عهد|LEM:عَهْد|M|ACC
4:16:2	هُمْ	N	PRON|SUFF|3MP
4:17:1	إِلَىٰ	P	P|LEM:إِلَى
4:18:1	مُدَّتِ	N	ROOT:مدد|LEM:مُدَّت|F|GEN
4:18:2	هِمْ	N	PRON|SUFF|3MP
4:19:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
4:20:1	ٱللَّهَ	N	PN|ROOT:أله|LEM:اللَّه|ACC
4:21:1	يُحِبُّ	V	IMPF|VF:4|ROOT:حبب|LEM:أَحْبَبْ|3MS|MOOD:IND
4:22:1	ٱلْ	P	DET|PREF|LEM:ال
4:22:2	مُتَّقِينَ	N	ACT_PCPL|VF:8|ROOT:وقي|LEM:مُتَّقي|MP|ACC
5:1:1	فَ	P	REM|PREF|LEM:ف
5:1:2	إِذَا	N	T|LEM:إِذا
5:2:1	ٱنسَلَخَ	V	PERF|VF:7|ROOT:سلخ|LEM:انسَلَخَ|3MS
5:3:1	ٱلْ	P	DET|PREF|LEM:ال
5:3:2	أَشْهُرُ	N	ROOT:شهر|LEM:شَهْر|MP|NOM
5:4:1	ٱلْ	P	DET|PREF|LEM:ال
5:4:2	حُرُمُ	N	ROOT:حرم|LEM:حَرام|MP|NOM|ADJ
5:5:1	فَ	P	REM|PREF|LEM:ف
5:5:2	ٱقْتُلُ	V	IMPV|VF:1|ROOT:قتل|LEM:قَتَلَ|2MP
5:5:3	وا۟	N	PRON|SUFF|2MP
5:6:1	ٱلْ	P	DET|PREF|LEM:ال
5:6:2	مُشْرِكِينَ	N	ACT_PCPL|VF:4|ROOT:شرك|LEM:مُشْرِك|MP|ACC
5:7:1	حَيْثُ	N	LOC|ROOT:حيث|LEM:حَيْث
5:8:1	وَجَد	V	PERF|VF:1|ROOT:وجد|LEM:وَجَدَ|2MP
5:8:2	تُّمُو	N	PRON|SUFF|2MP
5:8:3	هُمْ	N	PRON|SUFF|3MP
5:9:1	وَ	P	CONJ|PREF|LEM:و
5:9:2	خُذُ	V	IMPV|VF:1|ROOT:أخذ|LEM:أَخَذَ|2MP
5:9:3	و	N	PRON|SUFF|2MP
5:9:4	هُمْ	N	PRON|SUFF|3MP
5:10:1	وَ	P	CONJ|PREF|LEM:و
5:10:2	ٱحْصُرُ	V	IMPV|VF:1|ROOT:حصر|LEM:حَصِرَتْ|2MP
5:10:3	و	N	PRON|SUFF|2MP
5:10:4	هُمْ	N	PRON|SUFF|3MP
5:11:1	وَ	P	CONJ|PREF|LEM:و
5:11:2	ٱقْعُدُ	V	IMPV|VF:1|ROOT:قعد|LEM:قَعَدَ|2MP
5:11:3	وا۟	N	PRON|SUFF|2MP
5:12:1	لَ	P	P|PREF|LEM:ل
5:12:2	هُمْ	N	PRON|3MP
5:13:1	كُلَّ	N	ROOT:كلل|LEM:كُلّ|M|ACC
5:14:1	مَرْصَدٍ	N	ROOT:رصد|LEM:مَرْصَد|M|INDEF|GEN
5:15:1	فَ	P	REM|PREF|LEM:ف
5:15:2	إِن	P	COND|LEM:إِن
5:16:1	تَابُ	V	PERF|VF:1|ROOT:توب|LEM:تابَ|3MP
5:16:2	وا۟	N	PRON|SUFF|3MP
